maxfarms, p, zone, weight_z, cell
20, 0.75, 25, 0.1460615323408117, 18787
20, 0.75, 41, 0.05463791590949427, 32983
20, 0.75, 56, 0.05, 40838
20, 0.75, 67, 0.07289165476174077, 50627
20, 0.75, 75, 0.05, 55904
20, 0.75, 89, 0.05, 65178
20, 0.75, 98, 0.1395798890142048, 67549
20, 0.8, 1, 0.1175476960612257, 3419
20, 0.8, 6, 0.05308125235415522, 6910
20, 0.8, 10, 0.1869843391157557, 11003
20, 0.8, 17, 0.05, 15908
20, 0.8, 25, 0.1370877633820364, 18787
20, 0.8, 41, 0.06737325047703546, 32983
20, 0.8, 56, 0.05, 40838
20, 0.8, 66, 0.05, 50508
20, 0.8, 67, 0.05, 50627
20, 0.8, 75, 0.05, 55904
20, 0.8, 89, 0.05635919770846495, 65178
20, 0.8, 98, 0.131566500901327, 67549
20, 0.8500000000000001, 1, 0.1000086316831697, 3419
20, 0.8500000000000001, 6, 0.05, 6910
20, 0.8500000000000001, 8, 0.05, 9239
20, 0.8500000000000001, 10, 0.1214099480571537, 11003
20, 0.8500000000000001, 17, 0.06857602003992706, 15908
20, 0.8500000000000001, 25, 0.1293122467637675, 18787
20, 0.8500000000000001, 41, 0.07784833877435585, 32983
20, 0.8500000000000001, 56, 0.05987315005228199, 40838
20, 0.8500000000000001, 66, 0.05, 50508
20, 0.8500000000000001, 67, 0.05, 50627
20, 0.8500000000000001, 75, 0.05, 55904
20, 0.8500000000000001, 89, 0.06895859076550712, 65178
20, 0.8500000000000001, 98, 0.1240130738638376, 67549
20, 0.9, 1, 0.09610605699122124, 3419
20, 0.9, 6, 0.05, 6910
20, 0.9, 8, 0.05, 9239
20, 0.9, 10, 0.1006770271352594, 11003
20, 0.9, 17, 0.07818538923915093, 15908
20, 0.9, 25, 0.1222624595112275, 18787
20, 0.9, 41, 0.05000151656856699, 32983
20, 0.9, 47, 0.05, 35772
20, 0.9, 56, 0.07515334023899177, 40838
20, 0.9, 66, 0.07455722823815884, 50508
20, 0.9, 75, 0.05585371989482768, 55904
20, 0.9, 89, 0.08040532907961072, 65178
20, 0.9, 98, 0.1167979331029853, 67549
20, 0.9500000000000001, 1, 0.08600500425718792, 3419
20, 0.9500000000000001, 6, 0.05, 6910
20, 0.9500000000000001, 8, 0.05, 9239
20, 0.9500000000000001, 10, 0.07646716601208219, 11003
20, 0.9500000000000001, 17, 0.05, 15908
20, 0.9500000000000001, 21, 0.05287829357282323, 16927
20, 0.9500000000000001, 25, 0.1105877923865574, 18787
20, 0.9500000000000001, 41, 0.05, 32983
20, 0.9500000000000001, 47, 0.0552319809362972, 35772
20, 0.9500000000000001, 56, 0.08144518224066558, 40838
20, 0.9500000000000001, 66, 0.06640480693736067, 50508
20, 0.9500000000000001, 75, 0.05379411694961735, 55904
20, 0.9500000000000001, 84, 0.0559847719281548, 59935
20, 0.9500000000000001, 89, 0.05, 65178
20, 0.9500000000000001, 98, 0.1112008847792535, 67549
