cluster_KM,cor_mean,cor_min,cor_05,cor_025
93,0.9394760298826456,0.7670250123198006,0.8634196435498576,0.8471009824149609
94,0.9033491010765016,0.6713677838474789,0.7831387182297306,0.7574241803228217
95,0.9228136606671308,0.7254010105158513,0.8219815427445956,0.8002902796467444
96,0.9284842981808915,0.7252872741893157,0.8313797786248345,0.8100111359634388
97,0.9238295638735058,0.7122608360877973,0.8214621153186525,0.8016166477634536
98,0.9127367517036298,0.6838544706765448,0.7918112052286163,0.7687744720049827
99,0.8817219069284629,0.6587402488141545,0.7629631451498047,0.7426377509451635
100,0.9328072715381073,0.7517626235828906,0.8473075762898225,0.8297714514498902
101,0.9236986168542127,0.7054801533396206,0.815084619755986,0.7931078364442758
102,0.93581235222314,0.7740847549537746,0.8538516323203587,0.8381605726008775
103,0.8291111721693085,0.50074357405277,0.6660256498869668,0.63355773316118
104,0.9191157370498043,0.7087622981024795,0.8144868604164536,0.7929883240180037
105,0.8962791746590061,0.6395003870063685,0.7558412920183492,0.7298415333276856
106,0.9338150761039308,0.7363248605571291,0.8440195280147471,0.8241995363025472
107,0.9338299517008138,0.7405970621091195,0.8455783059289008,0.8262602135081307
108,0.9214513969582351,0.6980154663317157,0.808571926668416,0.7869081020296231
109,0.7631365145675671,0.3496183657623462,0.5964121263814184,0.5499134811565715
110,0.9310462968356197,0.7188912358380166,0.8322373233582578,0.8098964428317212
111,0.8981698125080353,0.642069818555309,0.7650329483586686,0.7375709824103067
112,0.9336290260536535,0.7491744068006625,0.8444686447143285,0.8248444427154453
113,0.9157904267812361,0.6766919892136852,0.7936334460361534,0.7688326779067549
114,0.917742983724875,0.6876717722437747,0.8007270782993148,0.7789344082513585
115,0.9285060536196175,0.7506208453425945,0.832071588694522,0.813702788396041
116,0.8822427567392666,0.6177729797343485,0.7372170589555643,0.7109669734799152
117,0.8418406796185903,0.5576415456196938,0.6779450239485072,0.641685836439922
118,0.9359947810073815,0.7354490642839763,0.845204215405105,0.8243114539006237
119,0.9091907206703881,0.6739740711609247,0.7822045271287809,0.7585145034793163
120,0.940553372776028,0.7342624962827142,0.8552458895204746,0.8341380083022519
121,0.9202093627524154,0.7100166741533038,0.8065384825983422,0.7840798953905752
122,0.9263369155999489,0.7107954401263836,0.8186145058289507,0.7957562163315907
123,0.9175664349491376,0.6870736945749618,0.8041591536830653,0.7801130374257481
124,0.9251559424763162,0.700397308541599,0.8172225589978604,0.7948683840355866
125,0.8161416255960244,0.3929675932289752,0.5812637221119177,0.5570566715585973
126,0.8130240810249404,0.4878375518784219,0.6163543020207607,0.5876546747542286
127,0.9458224416896601,0.7679311371114319,0.8695277613886028,0.8515821195646012
128,0.8874473233726772,0.6162289777118173,0.7303405186624231,0.7018581832181754
129,0.9270871647916796,0.7190264497202401,0.8249841168620226,0.8048694409186438
130,0.9321446164943223,0.7705533161673941,0.8419802056458416,0.8239135729264556
131,0.9174150016301157,0.6980390710683716,0.8014067924925822,0.7786008110297722
132,0.9316750909104811,0.7335025407873219,0.834119265625033,0.8146277956541015
133,0.8937078878453846,0.5893026503966455,0.7702938315801254,0.7427906411379607
134,0.9348859925177024,0.7542724503408136,0.8477911898276651,0.8289490056170861
135,0.9359846871943257,0.7702142004132588,0.8492465764581969,0.8317134550552575
136,0.9313004634999125,0.746013910140983,0.836495195580635,0.817646614109929
137,0.9257415999428106,0.7339925594858663,0.8329054242296045,0.813609509833926
138,0.9330703602833076,0.7292341823134095,0.835751827820648,0.8141538120918651
139,0.9398964107177452,0.7656730980886199,0.8567289738591335,0.838727345553514
140,0.9320894668058934,0.7339414337898027,0.8353467925498518,0.8149908196585727
141,0.9285510786526031,0.7396575575477374,0.8320778310376027,0.8126220463698675
142,0.9348900730835922,0.7509491406862019,0.8434347233963649,0.8253603580249089
143,0.9434597408910125,0.7910030666381028,0.8690656872538602,0.8529898961145587
144,0.9420735479652039,0.7663499516805855,0.8597851353662717,0.8412867587262298
145,0.9327921024469271,0.7364794697148783,0.8373185920610463,0.8166443833870809
146,0.9404715352542099,0.7879063657360651,0.8634098990631651,0.8483247316192479
147,0.9394679044890368,0.7754751681880008,0.8565550134973977,0.8402906520352597
148,0.9387886297039086,0.7622762587855904,0.8567077680889389,0.8377489899651049
149,0.9399450239090352,0.7704495473835706,0.8572552398548041,0.8410110355862939
150,0.9407373075269699,0.7796045714288313,0.8610274347347551,0.8443872407740517
